"Image","Symbol","Points","Notes"
![](./images/symbols/die1.png),"1","20"," "
![](./images/symbols/die2.png),"2","20"," "
![](./images/symbols/die3.png),"3","20"," "
![](./images/symbols/die4.png),"4","40"," "
![](./images/symbols/die5.png),"5","40"," "
![](./images/symbols/die6.png),"6","60"," "
![](./images/symbols/die7.png),"7","60"," "
![](./images/symbols/die8.png),"8","60"," "
![](./images/symbols/die9.png),"9","120"," "
![](./images/symbols/die10.png),"10","0","Only appears in dice string"
![](./images/symbols/die11.png),"11","0","Only appears in reel string"
![](./images/symbols/die12.png),"12","0","Only appears in reel string"
![](./images/symbols/die13.png),"13","0","Only appears in reel string"
