count,session_id,round_id,round_index,stake,running_rtp,totalWon,totalPoints,compensator_value,compensator_mode,freespin_color,freespin_round,freespin_chain_counter
0,1,0,,100.0,0.0,0.0,20.0,96.0,normal,,False,0
1,1,1,,100.0,0.0,0.0,60.0,192.0,normal,,False,0
2,1,2,,100.0,0.0,0.0,60.0,288.0,normal,,False,0
3,1,3,,100.0,0.0,0.0,60.0,384.0,normal,,False,0
4,1,4,,100.0,0.0,0.0,40.0,480.0,normal,,False,0
5,1,5,,100.0,0.0,0.0,40.0,576.0,boost,,False,0
6,1,6,,100.0,0.0,0.0,60.0,672.0,boost,,False,0
7,1,7,,100.0,0.0,0.0,20.0,768.0,normal,,False,0
8,1,8,,100.0,44.44444444444444,400.0,200.0,464.0,boost,,False,0
9,1,9,,100.0,40.0,0.0,0.0,560.0,normal,,False,0
10,1,10,,100.0,36.36363636363637,0.0,40.0,656.0,normal,,False,0
11,1,11,,100.0,33.33333333333333,0.0,80.0,752.0,normal,,False,0
12,1,12,,100.0,30.76923076923077,0.0,0.0,848.0,boost,,False,0
13,1,13,,100.0,28.57142857142857,0.0,80.0,944.0,boost,,False,0
14,1,14,,100.0,26.666666666666668,0.0,40.0,1040.0,boost,,False,0
15,1,15,,100.0,25.0,0.0,20.0,1136.0,boost,,False,0
16,1,16,,100.0,23.52941176470588,0.0,20.0,1232.0,boost,,False,0
17,1,17,,100.0,22.22222222222222,0.0,80.0,1328.0,boost,,False,0
18,1,18,,100.0,21.052631578947366,0.0,20.0,1424.0,boost,,False,0
19,1,19,,100.0,20.0,0.0,40.0,1520.0,boost,,False,0
20,1,20,,100.0,19.047619047619047,0.0,60.0,1616.0,boost,,False,0
21,1,21,,100.0,27.27272727272727,200.0,140.0,1512.0,boost,,False,0
22,1,22,,100.0,26.08695652173913,0.0,40.0,1608.0,boost,,False,0
23,1,23,,100.0,25.0,0.0,0.0,1704.0,boost,,False,0
24,1,24,,100.0,40.0,400.0,210.0,1400.0,boost,,False,0
25,1,25,,100.0,38.46153846153847,0.0,0.0,1496.0,boost,,False,0
26,1,26,,100.0,48.148148148148145,300.0,150.0,1292.0,boost,,False,0
27,1,27,,100.0,46.42857142857143,0.0,0.0,1388.0,boost,,False,0
28,1,28,,100.0,44.827586206896555,0.0,60.0,1484.0,boost,,False,0
29,1,29,,100.0,43.333333333333336,0.0,60.0,1580.0,boost,,False,0
30,1,30,,100.0,41.935483870967744,0.0,0.0,1676.0,boost,,False,0
